Position CC / OVC (Picklist Label),Company (Label),Position Country (code),Legal Entity (Label),Legal Entity (Legal Entity Code),Location (Location Name),Business unit (Label),Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Position Position Title (Label),Position Job Function (Label),Work Contract (Picklist Label),CC / OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Engineer I,Pyramid Engineering,Product Support Engineer,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder-Assembler - Drill Assembly-2173-T2OC7M2,MFG Assembly Drills,Welder - Assembler (Drills),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Instructor Developer,Prod Training & Publ,Technical Instructor,Training & Technical Communications,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Assembler-2108-T2OC6BM3,MP Subassembly SH,Assembler,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M3,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M3,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Production Supervisor II,MKE Global Dist,Warehouse Supervisor,Manufacturing,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M3,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer I,Functional Engineer,Principal Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Temporary,Intern,Hourly,Engineering Intern,XT Drills,Design Engineering Intern,Engineering,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,Fullfillment,Puchasing Intern,Administrative,Cler & Sten Sal (SD),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder-Assembler - Large Structure-4425-T2OC7M3,Carbody -Assembly SH,Welder - Assembler (Large Structure),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Temporary,Intern,Hourly,Intern,Engineering Admin,Reliability Engineering Intern,Engineering,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Warehouse Supervisor,MP Transportation,Warehouse Supervisor,Manufacturing,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M2,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Commercial,Komatsu Mining Technologies,Selling,Affiliate Companies,KLTD,Salaried,Contract Development Manager,Commercial Manage'nt,Contract Development Manager,,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,MP Admin,Manufacturing Engineer - TDM & Machining Intern,Administrative,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Engineering,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Sr Mining Application Engineer,Drills BU Sales & De,Sr. Mining Application Engineer,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,XT Drills,Engineer V,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder B-4525-T2OC9M3,Carbody -Welding SH,Welder B (TT),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Cleveland, OH - AMNUSA Pyramid",Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Product Specialist III,Pyramid Engineering,Product Support Specialist,Product Marketing,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder-Assembler - Drill Assembly-2173-T2OC7M1,MFG Assembly Drills,Assembler-Welder (Drill Assembly),Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - HMC-CNC VTL - LRP-0497-T1OC8M3,MPLargeRdPtsCellSH,Op HMC/Gear Cutter-CNC Vert Tur Lathe,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,Shovel Engineering,Engineer V,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee Distribution Center,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Warehouse Supervisor,MKE Global Dist,Warehouse Supervisor,Manufacturing,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Assembler-2108-T2OC6BM3,MP Subassembly SH,Assembler,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Chattanooga,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Accounts Payable Supervisor I,Accounts Payable,Accounts Payable Supervisor,Finance,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Assembler-2108-T2OC6BM3,MP Subassembly SH,Assembler,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,IT Manager I,AD COE,Cyber Security Architect,Information Technology,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,MPTechServShovelsSH,Manufacturing Engineering Intern – Shovel Assembly/Welding,Administrative,Cler & Sten Sal (SD),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder-Assembler - Large Structure-4425-T2OC7M3,Carbody -Assembly SH,Welder-Assembler (Large Assembly),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Temporary,Intern,Hourly,Intern,AD COE,Automation Intern,Administrative,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Technical Writer V,Tech Comm,Sr. Technical Communications Editor,Aftermarket Support,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Assembler-2108-T2OC6BM3,MP Subassembly SH,Assembler,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,"Manager, Process Optimization",Mining Strat Plannng,"Manager, Process Optimization",Research & Development,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Project Manager - Pyramid,Pyramid Marketing,Project Manager - Pyramid Parts,Product Management,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,"Gillette, WY - AMNUSA Western Region",Mktg & Prod,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,"Manager, Regional Mining Performance",Prod Support Drills,"Manager, Product Support, Drills",Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Charleroi - North East Americas,EHS,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Senior EHS Technology Analyst,Safety Admin,Global EHS Systems & Analytics Manager,Environmental Health & Safety,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Lathe Operator,MPLargeRdPtsCellSH,Engine Lathe Operator (OD Grinder),Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Aftrmkt Spt,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Senior Operator Instructor / Developer,Prod Training & Publ,Senior Operations Instructor-Drills,Training & Technical Communications,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Warrendale - Global HDQTRS,Engineering,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Manager Analytics,Mining Strat Plannng,"Senior Program Manager, Automation",Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Weld Engineering Manager,Adv Mfg Engineering,Welding Manager,Manufacturing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Inspector - Assembly-Machining-7711-T2OC10M3,Logistics Systems,Inspector - MDC/SH,Manufacturing,Direct (DL),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Operator - Gearing/Gashing/Turning-0572-T2OC10M3,MP SmallGear RCellSH,Cell H Operator,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Factory Service Engineer I,Pyramid Engineering,Factory Service  - Dragline Services,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,"Sr Director of Distribution, Logistics & Compliance",MKE MOH Horizontals,"Senior Director of Distribution, Logistics and Compliance",Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,Adm MP Gen Admin,Facilities Management Intern,Administrative,Cler & Sten Sal (SD),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M1,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Commercial,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Pricing Manager,Parts Pricing,Pricing and Material Master Manager,Commercial,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M1,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M3,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,P&H Security,"Contractor, Admin - Security Personnel",Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Home Office,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,"Sr Director Global Aftermarket, Loading Business Unit",Loading BU Executive,"Sr Director, Global Aftermarket - Loading Business Unit",Aftermarket Support,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Longview LeT - LeT Mining Products,Mktg & Prod,Komatsu Mining Technologies,Selling,Temporary,Part-Time,Hourly,Intern,Mining Strat Plannng,Intern-Program Management,Administrative,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Regular,Part-Time,Hourly,Engineering Systems Specialist I,Pyramid Services,Part Time Engineer,Engineering,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,P&H Security,"Contractor, Admin - Security Personnel",Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Longview LeT - LeT Mining Products,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr. Quality Engineer,Adm Qual Engineer,Sr. Supplier Quality Engineer,Manufacturing Quality,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,MP Admin,Manufacturing Engineer - Machining Intern,Administrative,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,P&H Security,"Contractor, Admin - Security Personnel",Contingent Worker,,CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Admin,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,P&H Security,"Contractor, Admin - Security Personnel",Contingent Worker,,CC
Overhead Variable Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,MKE-Welder D-4451-T2OC7M2,Carbody -Welding SH,Welder D,Manufacturing,Direct (DL),OVC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Mktg & Prod,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Product Manager IV,Prevail Service,Product Manager - Automation,Product Marketing,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,MP Tech Serv Mach,SMART Manufacturing Intern,Administrative,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer I,Shovel Engineering,Engineer I,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Engineering,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Hourly,Intern,MP Tech Serv Mach,Thermal Processing Intern,Administrative,Cler & Sten Sal (SD),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Category Manager II,Adm Purchasing,Category Manager I,Supply Chain,Tech & Spec Sal (SE),CC
Capacity Cost,Surface,USA,Joy Global Surface Mining,USP2,Milwaukee South Harbor,Commercial,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Regional Commercial Group Leader,Commercial Manage'nt,Senior Commercial Manager,Commercial,Tech & Spec Sal (SE),CC
